Diego Galván Martínez
04/05/2023 12:38:29 a. m.
# | Caracter
include | Identificador
< | Operador_Relacional
stdio | Identificador
. | Caracter
h | Identificador
> | Operador_Relacional
# | Caracter
include | Identificador
< | Operador_Relacional
math | Identificador
. | Caracter
h | Identificador
> | Operador_Relacional
int | Datos
radio | Identificador
, | Caracter
pi | Identificador
, | Caracter
c | Identificador
, | Caracter
c | Identificador
, | Caracter
x26 | Identificador
; | Fin_de_Sentencia
char | Datos
c | Identificador
; | Fin_de_Sentencia
float | Datos
a | Identificador
, | Caracter
b | Identificador
, | Caracter
c | Identificador
, | Caracter
d | Identificador
, | Caracter
e | Identificador
, | Caracter
pi | Identificador
; | Fin_de_Sentencia
void | Identificador
main | Identificador
( | Caracter
) | Caracter
{ | Inicio
for | Ciclos
( | Caracter
i | Identificador
= | Asignacion
0 | Numero
; | Fin_de_Sentencia
; | Fin_de_Sentencia
Error: Sintaxis, se espera un <(> en la linea 11 columna 16
